id|DISTRITO|TIPO|ANO|AREAPOV|AREAMATO|AREAAGRIC|AREATOTAL|REACENDIMENTOS|QUEIMADA|FALSOALARME|FOGACHO|INCENDIO|AGRICOLA|NCCO|NOMECCO|DATAALERTA|HORAALERTA|LOCAL|CONCELHO|FREGUESIA|FONTEALERTA|INE|X|Y|DIA|MES|HORA|OPERADOR|PERIMETRO|APS|CAUSA|TIPOCAUSA|DHINICIO|DHFIM|DURACAO|HAHORA|DATAEXTINCAO|HORAEXTINCAO|DATA1INTERVENCAO|HORA1INTERVENCAO|QUEIMA|LAT|LON|CAUSAFAMILIA|TEMPERATURA|HUMIDADERELATIVA|VENTOINTENSIDADE|VENTOINTENSIDADE_VETOR|VENTODIRECAO_VETOR|PRECEPITACAO|FFMC|DMC|DC|ISI|BUI|FWI|DSR|THC|MODFARSITE|ALTITUDEMEDIA|DECLIVEMEDIO|HORASEXPOSICAOMEDIA|DENDIDADERV|COSN5VARIEDADE|AREAMANCHAMODFARSITE|AREASFICHEIROS_GNR|AREASFICHEIROS_GTF|FICHEIROIMAGEM_GNR|AREASFICHEIROSHP_GTF|AREASFICHEIROSHPXML_GTF|AREASFICHEIRODBF_GTF|AREASFICHEIROPRJ_GTF|AREASFICHEIROSBN_GTF|AREASFICHEIROSBX_GTF|AREASFICHEIROSHX_GTF|AREASFICHEIROZIP_SAA
AG1011|Faro|Florestal|2001|0.1|0|0|0.1|0|0|0|1|0|0|5622|FAR|18-02-2001|13:20|ODELOUCA|Silves|Silves|Outros|81307|166254|26770|18|2|13|aura|||||18-02-2001 13:20:00|18-02-2001 14:20:00|60|0.1|18-02-2001|14:20|||0|37.2061111111111|-8.51305555555555||15.7235107421875|49.8423458419809|16.4184240391912|4.7481404396217|333|0|86.8058575031897|10.2735285393498|28.7371048583984|5.50283443032432|10.8499243757561|6.20822753675697|0.688845144786709||237|35.1563|21.2251||196.546|15.34|250.589|||||||||||
AG10110|Faro|Florestal|2001|0|0.001|0|0.001|0|0|0|1|0|0|14819|FAR|07-05-2001|19:14|Alamo|Alcoutim|Alcoutim|Outros|80201|261000|47018|7|5|19|aura|||||07-05-2001 19:14:00|07-05-2001 20:20:00|66|9.09090909090909E-04|07-05-2001|20:20|||0|37.3872222222222|-7.44416666666667||18.7339172363281|60.7907298792818|8.24961917642125|1.96780322875646|247|0|86.0677207537337|31.6787737964548|208.554300233721|4.00094079231744|45.9198342464052|10.5586242117476|1.76341237436161|||-1.35198|3.03793||174.202|12.11||||||||||||
AG101100|Faro|Florestal|2001|0.02|0.01|0|0.03|0|0|0|1|0|0|25802|FAR|27-07-2001|13:04|Quinta do Lago|Loulé|Almansil|Outros|80801|209368|10323|27|7|13|chico||Ria Formosa|||27-07-2001 13:04:00|27-07-2001 13:10:00|6|0.3|27-07-2001|13:10|||0|37.0583333333333|-8.0275||23.2859191894531|59.7198104824761|14.8089882138966|4.11360783719349|251|0|86.9937074128146|215.225311855787|776.93801656951|5.09248393934587|254.321767424654|25.2178909370339|8.23366917064141|||7.36688|3.66126||431.407|14.06||||||||||||
AG101101|Faro|Florestal|2001|0.693|0|0|0.693|0|0|0|1|0|0|26002|FAR|28-07-2001|19:33|Maias|Monchique|Alferce|PV|80901|166667|39706|28|7|19|chico|||||28-07-2001 19:33:00|28-07-2001 20:23:00|50|0.8316|28-07-2001|20:23|||0|37.3227777777778|-8.50888888888889||22.5075988769531|69.5716523169931|22.485905973265|5.81622515452692|320|0|88.7837039888336|298.000113672227|797.28271055248|8.67727226995071|308.10213065296|36.3550559008714|15.7314454877654|||584.333|25.0316||214.427|8.95||||||||||||
AG101102|Faro|Florestal|2001|0.02|0|0|0.02|0|0|0|1|0|0|26094|FAR|29-07-2001|10:55|Monte Negro|Faro|Montenegro|Outros|80506|215209|7283|29|7|10|chico|||||29-07-2001 10:55:00|29-07-2001 11:04:00|9|0.133333333333333|29-07-2001|11:04|||0|37.0311111111111|-7.96194444444444||22.7890930175781|71.1401638012333|10.1269215349849|3.18063887224829|117|0|87.0420723609141|217.341685289511|784.771777311697|4.84370163824291|256.848554826942|24.3636897618538|7.74647496221451|||-9.72625|5.04102||503.716|21.65||||||||||||
AG101103|Faro|Florestal|2001|0.008|0|0|0.008|0|0|0|1|0|0|26120|FAR|29-07-2001|15:32|Monte Negro|Faro|Montenegro|Outros|80506|215209|7283|29|7|15|chico|||||29-07-2001 15:32:00|29-07-2001 15:37:00|5|0.096|29-07-2001|15:37|||0|37.0311111111111|-7.96194444444444||22.916015625|72.5336966414229|14.7287051571933|4.09130698810925|157|0|85.4080387707758|218.80701070148|792.54486056365|4.74131922938751|258.911975177265|24.0108169427716|7.54899577019353|||-9.72625|5.04102||503.716|21.65||||||||||||
AG101104|Faro|Florestal|2001|3|8|0|11|0|0|0|0|1|0|22172|FAR|02-07-2001|12:59|Sarnim|Silves|São Bartolomeu de Messines|PV|81305|184830|38799|2|7|12|chico|||6|Desconhecida|02-07-2001 12:59:00|03-07-2001 02:39:00|820|0.804878048780488|03-07-2001|02:39|||0|37.315|-8.30416666666667|Indeterminadas|29.5562133789063|36.5035009023666|7.7742342363186|4.60589723099657|318|0|93.2987257991505|235.782928969935|575.875683343005|10.122689224365|235.709615691701|39.7933494634126|18.4600758747433|||130.351|11.2981||107.696|11.92||||||||||||
AG101105|Faro|Florestal|2001|0|0.04|0|0.04|0|0|0|1|0|0|26435|FAR|31-07-2001|19:02|Falacho|Silves|Silves|Outros|81307|169870|25242|31|7|19|chico|||||31-07-2001 19:02:00|31-07-2001 19:51:00|49|4.89795918367347E-02|31-07-2001|19:51|||0|37.1925|-8.47222222222222||24.6863098144531|58.4736527214571|12.1113615978237|3.36426711050658|270|0|82.5288398675303|157.733351304414|825.958904412341|2.33822404692264|213.524690572105|14.0560699621678|2.92609232478276|||20.525|19.8027||344.794|15.54||||||||||||
