incident_id,start_date,end_date,n_days,lat_first,lon_first,mean_temp_max,temp_max_max,temp_max_min,mean_temp_min,temp_min_max,temp_min_min,rh_max_mean,rh_max_max,rh_max_min,rh_min_mean,rh_min_max,rh_min_min,precip_sum_mean,precip_sum_max,precip_sum_min,rain_sum_mean,rain_sum_max,rain_sum_min,precip_hours_mean,precip_hours_max,precip_hours_min,wind_max_mean,wind_max_max,wind_max_min,gust_max_mean,gust_max_max,gust_max_min,wind_dir_mean,wind_dir_max,wind_dir_min,radiation_mean,radiation_max,radiation_min,sunshine_mean,sunshine_max,sunshine_min,et0_mean,et0_max,et0_min,dry_day_sum,high_wind_sum
AG1211110,2021-07-13,2021-07-13,1,37.4144444444444,-7.69722222222222,31.3,31.3,31.3,14.7,14.7,14.7,72.0,72,72,18.0,18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,45.0,45.0,45.0,336.0,336,336,29.62,29.62,29.62,47489.16,47489.16,47489.16,7.79,7.79,7.79,1,0
AG1211131,2021-07-17,2021-07-18,2,37.2594444444444,-8.67111111111111,26.700000000000003,29.8,23.6,16.8,18.2,15.4,92.0,99,85,46.0,56,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.65,29.0,22.3,47.85,53.6,42.1,340.0,341,339,28.85,29.13,28.57,46929.979999999996,47727.43,46132.53,5.720000000000001,6.66,4.78,2,0
AG1211218,2021-08-04,2021-08-05,2,37.1733300002416,-7.9725,35.599999999999994,36.8,34.4,19.35,19.4,19.3,73.5,77,70,20.0,27,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4,33.4,29.4,55.8,59.8,51.8,178.5,356,1,27.225,27.64,26.81,46409.835,46433.18,46386.49,8.58,8.93,8.23,2,1
AG1211220,2021-08-04,2021-08-05,2,37.1633333333333,-7.98111111111111,35.2,36.4,34.0,18.95,19.0,18.9,73.5,77,70,19.5,27,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4,33.4,29.4,55.8,59.8,51.8,178.5,356,1,27.225,27.64,26.81,46409.835,46433.18,46386.49,8.5,8.85,8.15,2,1
AG1211232,2021-08-06,2021-08-06,1,37.2402777777778,-8.00861111111111,35.1,35.1,35.1,18.7,18.7,18.7,80.0,80,80,19.0,19,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,33.0,53.6,53.6,53.6,352.0,352,352,27.05,27.05,27.05,46315.23,46315.23,46315.23,7.93,7.93,7.93,1,1
AG1211287,2021-08-16,2021-08-17,2,37.3072222222222,-7.61472222222222,37.3,38.9,35.7,21.450000000000003,21.8,21.1,49.0,54,44,13.0,18,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9,24.1,21.7,48.400000000000006,51.1,45.7,321.0,332,310,26.58,27.04,26.12,45606.405,45666.05,45546.76,9.455,10.56,8.35,2,0
AG1211309,2021-08-18,2021-08-19,2,37.4044444444444,-7.905,35.55,36.6,34.5,17.6,19.4,15.8,72.5,86,59,14.5,16,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,22.9,18.9,45.0,49.7,40.3,309.5,312,307,26.165,26.22,26.11,45384.155,45445.64,45322.67,7.050000000000001,7.48,6.62,2,0
AG1211328,2021-08-22,2021-08-22,1,37.3294444444444,-7.78583333333333,35.8,35.8,35.8,17.3,17.3,17.3,86.0,86,86,20.0,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,14.5,14.5,32.8,32.8,32.8,330.0,330,330,24.4,24.4,24.4,44937.25,44937.25,44937.25,6.27,6.27,6.27,1,0
AG1211363,2021-09-04,2021-09-04,1,37.1805050002204,-8.75153500000636,27.8,27.8,27.8,17.0,17.0,17.0,94.0,94,94,43.0,43,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,22.6,22.6,39.2,39.2,39.2,337.0,337,337,22.85,22.85,22.85,42034.46,42034.46,42034.46,4.93,4.93,4.93,1,0
AG121869,2021-05-22,2021-05-22,1,37.2044444444444,-7.5325,25.9,25.9,25.9,13.4,13.4,13.4,70.0,70,70,16.0,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2,29.2,29.2,60.5,60.5,60.5,350.0,350,350,27.84,27.84,27.84,43629.08,43629.08,43629.08,7.49,7.49,7.49,1,0
AT121105,2021-06-09,2021-06-09,1,38.3757479996151,-7.26131200048659,36.2,36.2,36.2,16.7,16.7,16.7,52.0,52,52,11.0,11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,15.3,15.3,31.3,31.3,31.3,309.0,309,309,30.05,30.05,30.05,48216.66,48216.66,48216.66,7.64,7.64,7.64,1,0
AT121181,2021-06-29,2021-06-29,1,38.4972222222222,-7.47861111111111,29.4,29.4,29.4,12.6,12.6,12.6,86.0,86,86,22.0,22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,32.4,32.4,32.4,316.0,316,316,30.34,30.34,30.34,48734.23,48734.23,48734.23,6.62,6.62,6.62,1,0
AT121198,2021-07-05,2021-07-05,1,38.6883333333333,-7.45277777777778,29.4,29.4,29.4,16.5,16.5,16.5,85.0,85,85,38.0,38,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,18.7,18.7,40.3,40.3,40.3,305.0,305,305,29.2,29.2,29.2,48394.7,48394.7,48394.7,6.43,6.43,6.43,1,0
AT121204,2021-07-07,2021-07-07,1,38.5786111111111,-7.42833333333333,27.0,27.0,27.0,13.5,13.5,13.5,87.0,87,87,29.0,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,18.6,18.6,41.0,41.0,41.0,324.0,324,324,30.1,30.1,30.1,48278.52,48278.52,48278.52,6.56,6.56,6.56,1,0
AT121216,2021-07-11,2021-07-11,1,38.5086111111111,-7.38111111111111,39.6,39.6,39.6,21.9,21.9,21.9,62.0,62,62,18.0,18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,21.6,21.6,49.0,49.0,49.0,270.0,270,270,27.8,27.8,27.8,47513.55,47513.55,47513.55,8.84,8.84,8.84,1,0
AT121222,2021-07-12,2021-07-12,1,38.8205555555556,-8.03111111111111,24.9,24.9,24.9,14.1,14.1,14.1,83.0,83,83,36.0,36,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9,23.9,23.9,51.1,51.1,51.1,324.0,324,324,29.34,29.34,29.34,48372.03,48372.03,48372.03,6.06,6.06,6.06,1,0
AT121247,2021-07-18,2021-07-19,2,38.7961111111111,-7.43277777777778,32.7,34.2,31.2,16.1,18.0,14.2,83.0,93,73,28.5,32,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.75,25.1,20.4,48.2,51.8,44.6,306.5,309,304,28.95,29.08,28.82,47598.225,47602.31,47594.14,7.38,8.18,6.58,2,0
AT121261,2021-07-22,2021-07-22,1,38.3477777777778,-8.04555555555556,34.1,34.1,34.1,15.3,15.3,15.3,86.0,86,86,18.0,18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,29.9,29.9,29.9,305.0,305,305,29.64,29.64,29.64,47475.92,47475.92,47475.92,6.77,6.77,6.77,1,0
AT121267,2021-07-28,2021-07-28,1,38.6470850001441,-8.32435800022549,33.7,33.7,33.7,15.3,15.3,15.3,93.0,93,93,23.0,23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4,20.4,20.4,42.1,42.1,42.1,338.0,338,338,28.18,28.18,28.18,47155.51,47155.51,47155.51,6.55,6.55,6.55,1,0
AT121274,2021-07-31,2021-07-31,1,38.9279550001356,-7.88381699999174,25.4,25.4,25.4,14.5,14.5,14.5,81.0,81,81,28.0,28,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,55.4,55.4,55.4,316.0,316,316,27.6,27.6,27.6,46971.59,46971.59,46971.59,6.21,6.21,6.21,1,0
AT121296,2021-08-10,2021-08-10,1,38.9364219999313,-8.1416399998135,34.3,34.3,34.3,15.1,15.1,15.1,86.0,86,86,17.0,17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,17.8,17.8,36.4,36.4,36.4,322.0,322,322,27.0,27.0,27.0,46272.69,46272.69,46272.69,6.47,6.47,6.47,1,0
AT121354,2021-09-05,2021-09-05,1,38.7733333333333,-8.05111111111111,34.8,34.8,34.8,19.6,19.6,19.6,80.0,80,80,21.0,21,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,17.4,17.4,39.6,39.6,39.6,174.0,174,174,21.9,21.9,21.9,39971.77,39971.77,39971.77,6.05,6.05,6.05,1,0
AT12194,2021-06-06,2021-06-06,1,38.2916666666667,-7.50583333333333,32.4,32.4,32.4,14.3,14.3,14.3,73.0,73,73,14.0,14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,18.7,18.7,36.7,36.7,36.7,316.0,316,316,30.19,30.19,30.19,47976.44,47976.44,47976.44,7.07,7.07,7.07,1,0
AT221108,2021-06-28,2021-06-28,1,39.2090250004662,-8.07124799993303,26.8,26.8,26.8,12.2,12.2,12.2,87.0,87,87,31.0,31,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2,25.2,25.2,50.8,50.8,50.8,329.0,329,329,30.51,30.51,30.51,49468.96,49468.96,49468.96,6.56,6.56,6.56,1,0
AT221110,2021-06-29,2021-06-29,1,39.0795229996575,-7.71313600010342,28.4,28.4,28.4,11.9,11.9,11.9,93.0,93,93,24.0,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,16.1,16.1,34.9,34.9,34.9,294.0,294,294,30.48,30.48,30.48,49282.5,49282.5,49282.5,6.36,6.36,6.36,1,0
AT221130,2021-07-14,2021-07-14,1,38.9063859997855,-7.84171600023905,34.2,34.2,34.2,14.1,14.1,14.1,92.0,92,92,16.0,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,11.3,11.3,23.4,23.4,23.4,352.0,352,352,29.61,29.61,29.61,48347.09,48347.09,48347.09,6.58,6.58,6.58,1,0
