incident_id,source_file,date,lat,lon,temp_max,temp_min,rh_max,rh_min,precip_sum,rain_sum,precip_hours,wind_max,gust_max,wind_dir,radiation,sunshine,et0
DM421333,2021.csv,2021-03-28,41.3830400000678,-8.14708500014411,20.7,5.4,78,38,0.0,0.0,0.0,14.5,37.1,96,22.01,41249.14,3.85
DM421335,2021.csv,2021-03-28,41.5019444444444,-8.03694444444444,20.1,3.8,80,37,0.0,0.0,0.0,14.0,39.2,69,22.26,41383.72,3.81
DM421337,2021.csv,2021-03-28,41.5102777777778,-8.18916666666667,22.0,8.7,62,36,0.0,0.0,0.0,19.9,44.6,83,21.99,41375.7,4.4
DM421339,2021.csv,2021-03-28,41.6764729997847,-8.01391500049167,18.1,6.2,67,40,0.0,0.0,0.0,16.6,47.2,85,22.26,41353.18,3.86
DM421339,2021.csv,2021-03-29,41.6764729997847,-8.01391500049167,14.9,9.6,72,48,1.6,1.6,5.0,18.8,52.9,78,11.0,27365.15,2.45
DM421348,2021.csv,2021-03-29,41.6919444444444,-8.03916666666667,18.4,10.8,75,45,0.4,0.4,3.0,13.2,39.6,80,11.15,24745.77,2.54
DM42135,2021.csv,2021-01-16,41.5891666666667,-7.95833333333333,7.6,-4.9,92,43,0.0,0.0,0.0,10.2,25.9,53,10.15,30633.63,1.14
DM421350,2021.csv,2021-03-29,41.6838888888889,-7.99555555555556,14.8,7.9,81,50,0.8,0.8,4.0,16.4,37.1,46,11.66,26001.12,2.24
DM421354,2021.csv,2021-03-29,41.5733333333333,-7.84138888888889,15.4,5.8,86,49,0.2,0.2,2.0,14.2,38.5,54,11.66,26323.66,2.12
DM421354,2021.csv,2021-03-30,41.5733333333333,-7.84138888888889,20.4,7.5,91,46,0.9,0.9,4.0,13.4,43.9,68,15.58,31045.14,2.78
DM421359,2021.csv,2021-03-30,41.6770229996575,-8.1238699997796,21.5,11.4,75,43,0.1,0.1,1.0,16.6,42.8,99,17.01,35261.11,3.62
DM421359,2021.csv,2021-03-31,41.6770229996575,-8.1238699997796,24.8,14.6,65,34,0.0,0.0,0.0,21.4,51.5,96,19.89,39688.32,5.1
DM421390,2021.csv,2021-04-04,41.5008333333333,-8.12027777777778,19.2,4.8,79,29,0.0,0.0,0.0,17.0,41.0,64,24.17,43019.68,4.03
DM42141,2021.csv,2021-01-17,41.66,-8.14944444444444,13.4,1.4,86,16,0.0,0.0,0.0,7.4,20.9,43,9.78,30717.52,1.5
DM421421,2021.csv,2021-04-07,41.4392079999712,-8.35249799993303,20.6,8.6,93,39,0.0,0.0,0.0,29.5,61.6,102,22.81,42494.98,4.39
DM42143,2021.csv,2021-01-17,41.4955555555556,-8.04444444444444,12.5,-3.2,83,38,0.0,0.0,0.0,10.8,23.8,64,9.96,30774.93,1.38
DM421430,2021.csv,2021-04-08,41.6897649998135,-8.07523800002204,18.0,8.9,90,51,0.0,0.0,0.0,13.4,40.7,175,20.0,42767.03,3.34
DM421433,2021.csv,2021-04-08,41.5793279997508,-8.30029500001007,17.4,9.3,90,46,0.1,0.1,1.0,13.4,33.8,151,19.91,41306.92,3.48
DM42144,2021.csv,2021-01-18,41.5919070000119,-8.00041699998908,9.7,-1.7,93,60,0.0,0.0,0.0,11.0,28.4,44,10.08,30861.92,1.12
DM42148,2021.csv,2021-01-18,41.5611111111111,-8.14166666666667,13.4,1.2,89,59,0.0,0.0,0.0,12.3,27.0,87,9.88,30832.04,1.33
DM42154,2021.csv,2021-01-19,41.4280555555556,-8.11638888888889,9.3,-2.7,87,62,0.3,0.3,2.0,14.4,38.9,122,6.29,19930.04,0.85
DM42156,2021.csv,2021-01-19,41.3528960000144,-8.28124899970161,11.3,1.0,89,62,0.2,0.2,2.0,23.3,48.2,149,5.54,10547.78,1.01
DM421576,2021.csv,2021-06-03,41.4566899998983,-8.72674999978807,18.1,11.2,91,57,0.0,0.0,0.0,30.9,58.7,331,30.29,50010.25,4.47
DM421583,2021.csv,2021-06-05,41.3475,-8.05277777777778,24.4,10.4,83,43,0.0,0.0,0.0,12.9,31.3,4,29.11,50297.05,5.37
DM4216,2021.csv,2021-01-09,41.7412770001094,-8.32844200028314,6.4,-3.6,84,46,0.0,0.0,0.0,14.8,41.0,28,8.42,29883.71,1.06
DM42164,2021.csv,2021-01-19,41.5108333333333,-8.15416666666667,10.1,0.0,90,62,0.4,0.4,3.0,18.0,40.3,122,5.75,13871.32,0.89
DM42170,2021.csv,2021-01-19,41.5491666666667,-8.31555555555556,10.3,2.2,88,64,0.8,0.8,5.0,18.8,44.6,133,5.86,12686.56,0.93
DM42172,2021.csv,2021-01-19,41.4925,-8.10305555555555,9.1,-2.2,90,62,0.4,0.4,2.0,9.5,32.4,82,6.53,20713.16,0.84
DM42172,2021.csv,2021-01-20,41.4925,-8.10305555555555,8.9,5.5,99,84,37.0,37.0,22.0,26.8,86.4,218,1.97,108.83,0.33
DM42177,2021.csv,2021-02-24,41.6083333333333,-8.1675,14.1,4.0,91,54,0.3,0.3,3.0,19.4,48.2,137,14.0,33632.01,2.08
DM42182,2021.csv,2021-02-28,41.6119529999627,-8.18299699995253,13.6,6.4,77,42,0.0,0.0,0.0,20.5,47.9,76,16.83,37126.8,2.85
DM421916,2021.csv,2021-08-23,41.5483333333333,-8.10444444444444,31.6,17.9,78,23,0.0,0.0,0.0,18.9,51.8,58,24.99,45327.87,6.12
DM421935,2021.csv,2021-08-24,41.4719444444444,-8.20666666666667,32.1,18.4,61,26,0.0,0.0,0.0,17.1,45.0,66,24.73,45160.67,6.34
DM421942,2021.csv,2021-08-24,41.5180555555556,-8.16666666666667,31.8,18.6,58,26,0.0,0.0,0.0,20.8,47.9,63,24.77,45169.33,6.71
DM421954,2021.csv,2021-08-24,41.7236129999161,-8.4721280002594,31.3,17.8,64,28,0.0,0.0,0.0,11.8,30.2,85,24.57,45195.43,5.75
DM421983,2021.csv,2021-08-27,41.4316666666667,-8.05638888888889,27.6,14.9,87,40,0.0,0.0,0.0,18.8,46.8,255,22.13,44707.68,4.35
DM421995,2021.csv,2021-08-29,41.5647222222222,-7.91666666666667,23.4,13.3,98,58,0.0,0.0,0.0,14.1,40.0,242,19.07,41908.7,3.51
RO121244,2021.csv,2021-06-26,39.6363888888889,-8.55333333333333,25.9,15.4,91,39,0.0,0.0,0.0,23.1,40.7,304,30.38,49665.44,6.02
RO121283,2021.csv,2021-07-07,38.91,-8.69722222222222,25.5,14.4,96,34,0.0,0.0,0.0,25.6,49.3,336,28.92,48934.55,5.87
RO121367,2021.csv,2021-07-28,39.3324529997508,-8.79977499961853,29.7,16.8,90,40,0.0,0.0,0.0,25.9,50.8,331,27.73,47588.63,6.4
RO121426,2021.csv,2021-08-07,39.4416666666667,-8.86944444444444,22.7,15.7,97,45,0.3,0.3,3.0,26.7,52.9,325,25.82,46335.18,4.75
RO121435,2021.csv,2021-08-09,39.2377777777778,-8.76472222222222,28.4,14.3,88,36,0.0,0.0,0.0,22.7,46.8,322,27.2,46194.68,5.89
RO121474,2021.csv,2021-08-16,39.187107000086,-8.65009500000212,34.6,16.7,92,23,0.0,0.0,0.0,24.3,49.3,325,26.19,45859.63,6.83
RO121505,2021.csv,2021-08-21,39.8225,-8.48666666666667,28.5,14.8,99,46,0.0,0.0,0.0,22.9,45.4,332,24.58,45383.94,4.93
RO121505,2021.csv,2021-08-22,39.8225,-8.48666666666667,29.1,15.0,99,44,0.0,0.0,0.0,20.0,41.4,327,24.65,45099.57,5.05
RO121510,2021.csv,2021-08-22,39.0177777777778,-8.63472222222222,33.1,16.3,90,30,0.0,0.0,0.0,23.7,46.1,322,25.06,45146.83,6.09
RO121510,2021.csv,2021-08-23,39.0177777777778,-8.63472222222222,35.6,17.6,90,28,0.0,0.0,0.0,20.4,40.0,305,24.31,44799.45,5.94
RO121557,2021.csv,2021-09-02,39.6791666666667,-8.35833333333333,27.6,16.6,94,40,0.0,0.0,0.0,23.8,42.1,328,22.14,43235.98,4.74
RO121589,2021.csv,2021-09-18,39.1638120004866,-8.81482300016615,23.7,16.0,84,45,0.0,0.0,0.0,26.0,50.0,342,20.85,39854.66,4.34
RO121611,2021.csv,2021-09-24,38.7636111111111,-8.79611111111111,24.3,13.4,99,56,0.7,0.7,3.0,18.1,37.8,209,17.15,39600.0,3.17
RO121680,2021.csv,2021-10-20,39.5513329999977,-8.12016700002882,24.6,15.6,95,53,0.7,0.7,3.0,18.4,40.0,300,12.93,33600.43,2.53
RO121697,2021.csv,2021-10-25,39.3636111111111,-8.265,23.0,11.8,97,38,0.0,0.0,0.0,23.0,38.2,340,14.27,34989.68,3.12
RO2211209,2021.csv,2021-08-15,39.1177799999714,-9.03861000008053,27.8,16.7,93,33,0.0,0.0,0.0,31.5,56.5,336,25.28,45819.07,5.7
RO2211250,2021.csv,2021-08-18,39.2152799998389,-8.90388999991947,27.4,15.9,84,37,0.0,0.0,0.0,30.7,54.4,323,25.61,45697.44,5.79
RO2211266,2021.csv,2021-08-20,39.1984999995761,-8.86049999978807,26.7,15.3,97,43,0.0,0.0,0.0,26.2,47.2,328,24.84,44003.58,4.94
RO2211345,2021.csv,2021-08-29,38.8252799998389,-9.20889000044929,24.8,16.5,97,42,0.0,0.0,0.0,17.5,36.4,314,22.95,41744.17,4.34
RO2211726,2021.csv,2021-10-13,39.18,-9.34639000044929,27.1,16.9,79,36,0.0,0.0,0.0,13.6,27.4,57,16.6,37403.95,3.72
RO2211728,2021.csv,2021-10-13,39.083814999991,-9.03340300000376,28.4,15.0,78,29,0.0,0.0,0.0,15.3,26.6,8,16.63,37425.34,4.17
RO2211840,2021.csv,2021-10-22,38.8563899999195,-9.24332999971178,20.7,12.4,86,41,0.0,0.0,0.0,24.1,49.3,351,15.37,35861.0,3.18
RO221199,2021.csv,2021-03-17,39.1975,-8.8566699997584,21.9,11.0,65,40,0.0,0.0,0.0,24.8,44.3,57,20.34,39549.39,4.31
RO221903,2021.csv,2021-07-15,38.8860169998805,-9.16785300003158,33.2,19.5,62,20,0.0,0.0,0.0,21.3,42.1,339,29.24,48736.36,7.94
RO221903,2021.csv,2021-07-16,38.8860169998805,-9.16785300003158,34.9,22.0,60,21,0.0,0.0,0.0,26.0,49.7,325,29.13,48705.4,7.77
RO321585,2021.csv,2021-07-24,37.8333299997118,-8.66694000000755,24.2,15.6,94,52,0.0,0.0,0.0,23.2,50.8,331,28.26,47368.45,5.13
RO321615,2021.csv,2021-08-01,37.9558190001382,-8.54892100016276,25.7,14.7,92,38,0.0,0.0,0.0,28.1,54.0,325,26.99,46517.57,5.47
RO321688,2021.csv,2021-08-17,38.4799480003781,-8.59669699986776,37.0,16.9,82,18,0.0,0.0,0.0,25.8,47.9,341,25.85,45722.06,7.92
TM121103,2021.csv,2021-03-10,41.4543070001072,-7.76332500033908,10.7,0.8,100,49,0.1,0.1,1.0,12.7,32.0,270,12.92,29406.01,1.68
TM121117,2021.csv,2021-03-15,41.8419444444444,-7.74611111111111,13.5,0.6,89,49,0.0,0.0,0.0,11.6,27.7,79,19.61,39129.23,2.68
TM121124,2021.csv,2021-03-16,41.2134119998084,-7.87259699980418,15.6,3.7,80,47,0.0,0.0,0.0,17.5,61.9,96,19.71,39284.01,2.93
TM121145,2021.csv,2021-03-17,41.6700030001005,-7.88966500017378,14.0,4.3,74,42,0.0,0.0,0.0,23.6,58.3,71,20.35,39580.62,3.11
TM12115,2021.csv,2021-01-10,41.7641666666667,-7.67944444444444,3.4,-2.8,83,56,0.0,0.0,0.0,20.9,46.4,5,8.77,29939.19,1.08
TM121153,2021.csv,2021-03-17,41.7625409995185,-7.61125299983554,17.9,4.6,79,38,0.0,0.0,0.0,15.4,35.6,117,20.19,39507.91,3.23
TM121154,2021.csv,2021-03-17,41.4274230003357,-7.66215799967448,14.6,4.7,82,45,0.0,0.0,0.0,22.3,54.4,83,20.19,39503.39,3.09
TM121161,2021.csv,2021-03-17,41.678269999822,-7.29834799978468,18.0,3.8,85,39,0.0,0.0,0.0,15.6,32.0,87,20.07,39508.04,3.24
TM121162,2021.csv,2021-03-17,41.7677777777778,-7.84416666666667,14.3,4.5,86,43,0.0,0.0,0.0,21.8,46.8,97,20.46,39595.28,3.01
TM121171,2021.csv,2021-03-17,41.4549679999881,-7.69510300000509,15.6,5.3,80,43,0.0,0.0,0.0,21.4,46.1,69,20.01,39463.99,3.15
TM121171,2021.csv,2021-03-18,41.4549679999881,-7.69510300000509,12.6,1.5,82,42,0.0,0.0,0.0,17.2,41.8,62,20.15,39641.79,3.03
TM121175,2021.csv,2021-03-17,41.7661111111111,-7.83611111111111,14.3,4.5,86,43,0.0,0.0,0.0,21.8,46.8,97,20.46,39595.28,3.0
TM121175,2021.csv,2021-03-18,41.7661111111111,-7.83611111111111,10.4,2.8,84,40,0.0,0.0,0.0,17.6,39.2,49,20.05,39715.45,2.66
TM121177,2021.csv,2021-03-18,41.4349820000595,-7.73798500008053,9.8,-0.1,80,43,0.0,0.0,0.0,18.7,46.4,73,20.23,39687.17,2.77
TM121180,2021.csv,2021-03-18,41.7019444444444,-7.90027777777778,12.0,2.1,80,37,0.0,0.0,0.0,13.0,55.8,52,19.69,39670.23,2.84
TM121181,2021.csv,2021-03-18,41.6988519997067,-7.85955499966939,9.8,1.1,81,36,0.0,0.0,0.0,15.1,45.7,55,19.94,39695.13,2.64
TM121185,2021.csv,2021-03-18,41.8,-7.84166666666667,10.5,2.9,84,40,0.0,0.0,0.0,17.6,39.2,49,20.05,39715.45,2.68
TM121192,2021.csv,2021-03-18,41.7077777777778,-7.98944444444444,13.9,4.0,80,37,0.0,0.0,0.0,13.0,55.8,52,19.69,39670.23,3.02
TM121193,2021.csv,2021-03-18,41.4006379999717,-7.80842999988132,10.0,0.0,78,42,0.0,0.0,0.0,17.5,68.0,77,20.14,39665.35,2.8
TM121201,2021.csv,2021-03-19,41.6922222222222,-7.96944444444444,11.3,1.9,88,60,0.0,0.0,0.0,22.6,72.4,38,18.73,37428.18,2.29
TM121202,2021.csv,2021-03-19,41.7261111111111,-7.57527777777778,12.8,1.4,84,55,0.0,0.0,0.0,23.5,51.1,8,16.82,34520.52,2.2
TM121203,2021.csv,2021-03-19,41.7286111111111,-8.01083333333333,12.9,2.9,86,55,0.0,0.0,0.0,20.8,61.9,41,19.05,36914.21,2.57
TM121208,2021.csv,2021-03-19,41.6767900000678,-7.89602199978299,10.7,0.9,84,58,0.0,0.0,0.0,23.0,55.8,36,18.45,38818.0,2.31
TM121210,2021.csv,2021-03-19,41.7569444444444,-7.87277777777778,10.3,0.7,88,61,0.0,0.0,0.0,27.0,67.3,23,17.73,37421.17,2.01
TM121212,2021.csv,2021-03-19,41.3922130001916,-7.66173999998305,11.6,0.7,87,55,0.0,0.0,0.0,20.5,67.0,45,18.4,39698.42,2.43
TM121213,2021.csv,2021-03-19,41.6469849999746,-7.73211700015598,12.4,2.0,80,56,0.0,0.0,0.0,24.8,57.2,29,18.03,39347.89,2.4
TM121214,2021.csv,2021-03-19,41.8402777777778,-7.71555555555556,9.1,0.4,98,69,0.0,0.0,0.0,30.2,72.0,354,15.59,31839.18,1.61
TM121216,2021.csv,2021-03-19,41.689638999833,-7.89050899982452,9.4,-0.1,92,62,0.0,0.0,0.0,25.5,68.0,32,18.28,38120.02,1.97
TM121222,2021.csv,2021-03-19,41.4736749998728,-7.79935500038995,14.5,1.8,80,51,0.0,0.0,0.0,20.7,52.9,49,18.15,39746.71,2.64
TM121222,2021.csv,2021-03-20,41.4736749998728,-7.79935500038995,13.1,3.2,83,40,0.0,0.0,0.0,16.4,45.7,62,20.95,40113.63,3.08
TM121223,2021.csv,2021-03-19,41.7288888888889,-8.05833333333333,11.5,2.1,88,60,0.0,0.0,0.0,22.6,72.4,38,18.73,37428.18,2.31
TM121230,2021.csv,2021-03-20,41.6683333333333,-7.89777777777778,10.8,-0.0,85,45,0.0,0.0,0.0,16.1,41.8,60,20.7,40103.18,2.66
TM121232,2021.csv,2021-03-20,41.2143769995372,-7.86864000002543,12.2,2.0,85,35,0.0,0.0,0.0,16.3,61.2,83,20.75,40038.82,2.98
TM121234,2021.csv,2021-03-20,41.8284770001305,-7.55755700005425,11.9,-0.2,92,40,0.0,0.0,0.0,16.0,38.5,321,19.88,40078.2,2.66
TM121239,2021.csv,2021-03-20,41.6879230001238,-7.79188299973806,10.5,-0.0,89,47,0.0,0.0,0.0,18.5,47.5,54,20.65,40206.04,2.62
TM121242,2021.csv,2021-03-20,41.72,-8.05277777777778,12.9,0.6,87,44,0.0,0.0,0.0,12.2,39.2,39,20.47,40053.77,2.83
TM121242,2021.csv,2021-03-21,41.72,-8.05277777777778,13.5,0.9,82,44,0.0,0.0,0.0,11.1,35.3,66,20.96,40267.0,3.07
TM121243,2021.csv,2021-03-20,41.7491666666667,-7.68083333333333,11.2,0.7,89,47,0.0,0.0,0.0,18.5,47.5,54,20.65,40206.04,2.69
TM121249,2021.csv,2021-03-21,41.648759999805,-7.78957199997372,13.0,-0.2,82,38,0.0,0.0,0.0,14.3,35.3,66,21.33,40304.93,2.99
TM121254,2021.csv,2021-03-21,41.7508333333333,-7.68277777777778,12.4,-2.8,88,41,0.0,0.0,0.0,9.6,23.4,63,21.4,40285.66,2.77
TM121255,2021.csv,2021-03-21,41.7203280001216,-7.72604999966092,12.3,-2.8,88,41,0.0,0.0,0.0,9.6,23.4,63,21.4,40285.66,2.77
TM121258,2021.csv,2021-03-21,41.4129240004222,-7.55305700010724,12.2,-2.1,81,41,0.0,0.0,0.0,11.2,31.7,79,21.01,40103.8,2.74
TM121265,2021.csv,2021-03-21,41.6600949997372,-7.77411199993557,12.6,-0.6,82,37,0.0,0.0,0.0,14.3,35.3,66,21.33,40304.93,2.95
TM121267,2021.csv,2021-03-21,41.6677029999759,-7.81184499952528,12.9,-0.3,82,37,0.0,0.0,0.0,14.3,35.3,66,21.33,40304.93,2.98
TM12127,2021.csv,2021-01-13,41.7141666666667,-7.95277777777778,11.1,3.5,50,21,0.0,0.0,0.0,6.3,15.8,332,9.87,30255.62,1.56
TM12127,2021.csv,2021-01-14,41.7141666666667,-7.95277777777778,9.1,-1.4,100,43,0.0,0.0,0.0,15.2,41.8,6,9.32,30358.66,1.25
TM121280,2021.csv,2021-03-22,41.7791666666667,-7.835,12.5,-0.4,88,41,0.0,0.0,0.0,10.5,26.6,109,21.59,40501.27,2.96
TM121283,2021.csv,2021-03-22,41.7738888888889,-7.68111111111111,12.8,3.5,83,42,0.0,0.0,0.0,9.0,26.3,100,21.46,40398.07,2.79
TM121288,2021.csv,2021-03-22,41.7169444444444,-7.88416666666667,15.2,2.2,82,53,0.0,0.0,0.0,9.5,25.6,96,21.26,40524.64,3.15
TM121288,2021.csv,2021-03-23,41.7169444444444,-7.88416666666667,15.6,5.2,93,31,0.0,0.0,0.0,9.4,29.9,147,21.56,40548.61,3.31
TM121290,2021.csv,2021-03-22,41.6514379999373,-7.80339299996694,14.0,1.1,88,45,0.0,0.0,0.0,13.5,32.8,50,21.59,40498.88,2.83
TM121298,2021.csv,2021-03-23,41.825,-7.66972222222222,15.8,5.6,90,30,0.0,0.0,0.0,8.1,23.8,208,21.83,40520.97,3.29
TM121303,2021.csv,2021-03-23,41.8561111111111,-7.75277777777778,15.2,2.6,88,31,0.0,0.0,0.0,12.0,24.8,183,21.75,40428.19,3.42
TM121308,2021.csv,2021-03-23,41.82424200005,-7.54437200016446,16.5,6.3,90,30,0.0,0.0,0.0,8.1,23.8,208,21.83,40520.97,3.36
TM121313,2021.csv,2021-03-23,41.7276589997609,-7.21612700038486,16.9,1.8,80,32,0.0,0.0,0.0,15.4,29.2,69,21.6,40232.75,3.4
TM121315,2021.csv,2021-03-23,41.7777299997542,-7.58533700002564,17.1,4.4,92,33,0.0,0.0,0.0,8.7,20.9,233,21.69,40415.34,3.25
TM121317,2021.csv,2021-03-23,41.8225,-7.89027777777778,14.5,3.4,92,28,0.0,0.0,0.0,11.9,24.1,154,21.89,40533.6,3.44
TM121327,2021.csv,2021-03-24,41.7918700000975,-7.81711299998893,12.5,3.0,95,35,0.0,0.0,0.0,10.6,27.7,252,22.01,40588.66,3.09
TM12133,2021.csv,2021-01-15,41.7238888888889,-7.95416666666667,8.6,-1.9,96,25,0.0,0.0,0.0,10.9,26.6,35,10.19,30465.32,1.25
TM121333,2021.csv,2021-03-24,41.7908333333333,-7.69416666666667,14.7,4.1,88,31,0.0,0.0,0.0,13.8,28.8,259,21.7,40346.23,3.13
