incident_id,source_file,date,lat,lon,temp_max,temp_min,rh_max,rh_min,precip_sum,rain_sum,precip_hours,wind_max,gust_max,wind_dir,radiation,sunshine,et0
20250008102,2025.csv,2025-01-02,41.9783333333333,-8.55333333333333,8.6,5.2,75,60,0.0,0.0,0.0,16.8,45.7,173,4.57,12350.66,1.2
20250008536,2025.csv,2025-01-02,41.9706149999301,-8.59657700008816,11.9,5.3,78,60,0.0,0.0,0.0,13.9,34.9,179,4.87,14844.98,1.09
20250075365,2025.csv,2025-01-17,41.2428600003984,-6.68071999973721,8.9,-1.3,92,48,0.0,0.0,0.0,16.8,36.4,65,10.18,30893.22,1.21
20250168127,2025.csv,2025-02-06,41.6869444444444,-8.30777777777778,10.9,3.9,69,43,0.0,0.0,0.0,11.7,28.8,114,9.57,27454.62,1.62
20250271295,2025.csv,2025-03-01,41.3617190000746,-6.52337200005849,9.4,2.7,81,46,0.0,0.0,0.0,27.9,54.4,63,9.23,21739.94,1.96
20250274364,2025.csv,2025-03-02,41.4761900001102,-7.76521299997965,2.9,-0.2,96,55,1.9,0.2,6.0,22.9,52.2,83,6.31,12069.66,1.04
20250280648,2025.csv,2025-03-03,41.9145530001322,-7.07227799998389,10.2,3.3,90,58,1.1,1.1,6.0,23.9,52.6,84,7.87,9585.2,1.5
20250284402,2025.csv,2025-03-04,41.7577777777778,-8.29611111111111,15.5,4.8,95,44,0.2,0.2,1.0,11.3,36.7,61,14.36,37589.62,2.22
20250335408,2025.csv,2025-03-15,41.6165670002831,-8.06864999996291,9.8,-1.9,88,43,0.2,0.2,2.0,10.2,26.6,307,17.04,39093.67,2.21
20250338035,2025.csv,2025-03-16,41.6816666666667,-7.90888888888889,10.0,-0.2,89,34,0.0,0.0,0.0,9.6,23.4,79,19.39,39191.79,2.51
20250339684,2025.csv,2025-03-16,41.6836111111111,-7.90916666666667,9.9,-0.3,89,34,0.0,0.0,0.0,9.6,23.4,79,19.39,39191.79,2.5
20250339703,2025.csv,2025-03-16,41.8683333333333,-8.48777777777778,11.0,-1.1,86,41,0.0,0.0,0.0,10.6,29.5,115,18.93,39230.49,2.41
20250341531,2025.csv,2025-03-17,41.8583333333333,-8.39027777777778,15.0,4.7,95,54,2.9,2.9,4.0,15.3,41.8,117,11.81,25288.96,1.89
20250349509,2025.csv,2025-03-18,41.9583333333333,-8.56611111111111,12.9,4.0,91,65,1.0,1.0,7.0,17.7,50.4,168,13.44,37698.04,1.77
20250349509,2025.csv,2025-03-19,41.9583333333333,-8.56611111111111,15.0,8.7,82,49,0.1,0.1,1.0,28.3,81.4,142,12.73,25681.96,2.87
20250350580,2025.csv,2025-03-19,41.878208000395,-8.29894700050354,15.5,8.8,84,49,0.1,0.1,1.0,28.2,71.6,139,12.31,25915.8,2.8
20250352877,2025.csv,2025-03-19,41.3727777777778,-8.52027777777778,18.1,11.6,83,47,0.2,0.2,2.0,31.2,63.7,129,8.5,8772.79,2.93
20250353088,2025.csv,2025-03-19,41.6558100001017,-8.1618930000729,14.5,8.0,85,53,0.1,0.1,1.0,31.3,77.8,122,11.6,21810.0,2.68
20250353539,2025.csv,2025-03-19,41.9246979999542,-8.41591799947951,16.9,10.6,85,46,0.3,0.3,1.0,31.2,76.3,147,11.81,25635.18,3.16
20250353877,2025.csv,2025-03-19,41.8182020000617,-8.27838200039334,16.5,8.3,86,47,0.2,0.2,2.0,27.5,72.0,132,11.8,23977.55,2.83
20250353893,2025.csv,2025-03-19,41.8808333333333,-8.20416666666667,16.1,9.4,84,49,0.1,0.1,1.0,28.2,71.6,139,12.31,25915.8,2.86
20250353893,2025.csv,2025-03-20,41.8808333333333,-8.20416666666667,15.8,7.3,97,46,11.5,11.5,16.0,34.0,100.1,158,11.65,28851.25,2.41
20250353971,2025.csv,2025-03-19,42.0561111111111,-8.26777777777778,15.5,5.9,94,49,0.0,0.0,0.0,24.4,63.4,125,13.26,31359.41,2.51
20250354535,2025.csv,2025-03-19,41.7516666666667,-8.21611111111111,14.3,6.8,88,52,0.1,0.1,1.0,28.3,77.4,126,12.19,21323.82,2.63
20250354535,2025.csv,2025-03-20,41.7516666666667,-8.21611111111111,13.7,6.1,96,50,13.3,13.3,17.0,33.0,95.8,156,13.08,26674.53,2.48
20250354623,2025.csv,2025-03-19,41.7538888888889,-8.01944444444444,13.4,5.9,97,57,0.3,0.3,1.0,30.7,91.8,130,11.1,17422.91,2.1
20250354783,2025.csv,2025-03-19,41.7504730000099,-8.27350999991099,15.6,8.0,88,52,0.1,0.1,1.0,28.3,77.4,126,12.19,21323.82,2.75
20250354783,2025.csv,2025-03-20,41.7504730000099,-8.27350999991099,14.9,7.4,96,50,13.3,13.3,17.0,33.0,95.8,156,13.08,26674.53,2.59
20250354822,2025.csv,2025-03-19,41.7878250000212,-8.34882500012716,16.4,8.3,86,47,0.2,0.2,2.0,27.5,72.0,132,11.8,23977.55,2.82
20250354822,2025.csv,2025-03-20,41.7878250000212,-8.34882500012716,16.2,7.8,96,44,17.0,17.0,18.0,32.5,99.4,157,12.08,31972.86,2.51
20250354936,2025.csv,2025-03-19,41.686750000053,-8.42165999995338,18.2,10.1,86,45,0.4,0.4,1.0,30.9,64.4,131,9.46,15997.25,3.11
20250354936,2025.csv,2025-03-20,41.686750000053,-8.42165999995338,18.4,9.7,97,41,16.7,16.7,18.0,39.3,92.2,156,12.99,26550.01,2.95
20250355082,2025.csv,2025-03-19,41.9106120003594,-8.4748429997762,16.0,9.7,82,49,0.1,0.1,1.0,28.3,81.4,142,12.73,25681.96,2.98
20250355082,2025.csv,2025-03-20,41.9106120003594,-8.4748429997762,15.6,7.0,97,45,11.4,11.4,17.0,37.7,114.5,160,11.58,24024.3,2.39
20250355224,2025.csv,2025-03-19,41.7150849999322,-8.27054499997033,14.9,7.3,88,52,0.1,0.1,1.0,28.3,77.4,126,12.19,21323.82,2.68
20250355224,2025.csv,2025-03-20,41.7150849999322,-8.27054499997033,14.2,6.7,96,50,13.3,13.3,17.0,33.0,95.8,156,13.08,26674.53,2.53
20250355409,2025.csv,2025-03-19,41.9619444444444,-8.55944444444444,15.3,9.0,82,49,0.1,0.1,1.0,28.3,81.4,142,12.73,25681.96,2.91
20250355409,2025.csv,2025-03-20,41.9619444444444,-8.55944444444444,14.9,6.3,97,45,11.4,11.4,17.0,37.7,114.5,160,11.58,24024.3,2.33
20250355466,2025.csv,2025-03-19,41.7827777777778,-8.31805555555556,16.2,8.0,86,47,0.2,0.2,2.0,27.5,72.0,132,11.8,23977.55,2.8
20250355466,2025.csv,2025-03-20,41.7827777777778,-8.31805555555556,15.9,7.5,96,44,17.0,17.0,18.0,32.5,99.4,157,12.08,31972.86,2.49
20250385476,2025.csv,2025-03-24,40.9808333333333,-7.32583333333333,13.0,3.1,91,56,0.5,0.5,4.0,17.5,38.9,317,17.67,39761.3,2.4
20250391314,2025.csv,2025-03-25,41.0402777777778,-8.19638888888889,15.2,3.1,97,44,0.0,0.0,0.0,10.9,34.2,92,21.67,40586.32,3.11
20250395382,2025.csv,2025-03-26,40.7213888888889,-7.9425,16.9,4.5,99,42,0.0,0.0,0.0,15.5,35.6,267,17.63,36586.25,2.79
20250405343,2025.csv,2025-03-28,41.9244800000721,-7.01839800000191,15.8,2.6,93,25,0.0,0.0,0.0,19.4,43.9,336,21.77,41266.79,3.42
20250405354,2025.csv,2025-03-28,41.5880319997999,-8.09788199954563,18.5,6.2,93,24,0.0,0.0,0.0,10.7,27.4,340,21.63,41350.3,3.4
20250407006,2025.csv,2025-03-28,41.7311111111111,-7.97138888888889,16.4,4.6,93,19,0.0,0.0,0.0,13.3,38.9,27,21.83,41356.27,3.43
20250407098,2025.csv,2025-03-28,41.8444444444444,-7.91611111111111,11.6,2.2,100,32,0.0,0.0,0.0,16.3,38.5,356,21.77,41371.02,2.96
20250409902,2025.csv,2025-03-29,41.8803149996863,-8.45086199998856,19.6,5.7,97,36,0.0,0.0,0.0,17.4,43.6,22,21.96,41490.36,3.8
20250409902,2025.csv,2025-03-30,41.8803149996863,-8.45086199998856,22.8,6.6,86,41,0.0,0.0,0.0,8.7,24.5,35,21.99,41623.77,3.69
20250410259,2025.csv,2025-03-29,41.7116666666667,-8.03472222222222,21.6,7.4,91,23,0.0,0.0,0.0,13.5,32.8,53,22.36,41524.93,4.21
20250410528,2025.csv,2025-03-29,40.9568319998847,-8.4548920000924,20.9,6.5,85,29,0.0,0.0,0.0,13.8,34.2,44,21.99,41414.17,3.83
20250411134,2025.csv,2025-03-29,41.6740200000339,-8.11239199956258,19.1,5.2,93,31,0.0,0.0,0.0,10.8,28.8,49,22.41,41564.25,3.79
20250411134,2025.csv,2025-03-30,41.6740200000339,-8.11239199956258,19.4,7.5,58,36,0.0,0.0,0.0,19.9,52.6,78,22.62,41645.56,4.4
20250411262,2025.csv,2025-03-29,41.9655555555556,-8.53833333333333,17.0,3.8,91,36,0.0,0.0,0.0,13.6,39.6,41,22.28,41496.61,3.46
20250411262,2025.csv,2025-03-30,41.9655555555556,-8.53833333333333,20.8,5.0,81,46,0.0,0.0,0.0,8.7,25.6,82,22.44,41639.66,3.67
20250411456,2025.csv,2025-03-29,41.6868329999182,-8.10831000010173,21.7,7.1,89,24,0.0,0.0,0.0,13.5,29.5,56,22.27,41521.79,4.06
