incident_id,source_file,date,lat,lon,temp_max,temp_min,rh_max,rh_min,precip_sum,rain_sum,precip_hours,wind_max,gust_max,wind_dir,radiation,sunshine,et0
AG1011,2001.csv,2001-02-18,37.2061111111111,-8.51305555555555,16.8,6.6,88,45,0.0,0.0,0.0,17.4,33.5,351,17.05,35986.64,2.75
AG10110,2001.csv,2001-05-07,37.3872222222222,-7.44416666666667,21.5,11.4,85,43,0.0,0.0,0.0,17.2,33.8,252,23.82,46669.21,4.36
AG101100,2001.csv,2001-07-27,37.0583333333333,-8.0275,26.9,17.4,84,42,0.0,0.0,0.0,20.3,41.4,334,23.77,43620.43,5.54
AG101101,2001.csv,2001-07-28,37.3227777777778,-8.50888888888889,25.2,13.8,95,44,0.0,0.0,0.0,18.2,37.8,324,28.15,46969.74,5.27
AG101102,2001.csv,2001-07-29,37.0311111111111,-7.96194444444444,25.8,18.1,88,58,0.0,0.0,0.0,12.0,29.9,9,26.23,46943.93,4.99
AG101103,2001.csv,2001-07-29,37.0311111111111,-7.96194444444444,25.8,18.1,88,58,0.0,0.0,0.0,12.0,29.9,9,26.23,46943.93,4.99
AG101104,2001.csv,2001-07-02,37.315,-8.30416666666667,32.7,20.3,71,28,0.0,0.0,0.0,21.9,42.8,314,30.29,48637.1,7.09
AG101104,2001.csv,2001-07-03,37.315,-8.30416666666667,31.7,17.1,87,32,0.0,0.0,0.0,25.8,49.7,338,29.61,48483.01,7.37
AG101105,2001.csv,2001-07-31,37.1925,-8.47222222222222,26.8,18.5,98,46,0.0,0.0,0.0,17.5,31.0,241,27.05,46758.97,5.26
