incident_id,start_date,end_date,n_days,lat_first,lon_first,mean_temp_max,temp_max_max,temp_max_min,mean_temp_min,temp_min_max,temp_min_min,rh_max_mean,rh_max_max,rh_max_min,rh_min_mean,rh_min_max,rh_min_min,precip_sum_mean,precip_sum_max,precip_sum_min,rain_sum_mean,rain_sum_max,rain_sum_min,precip_hours_mean,precip_hours_max,precip_hours_min,wind_max_mean,wind_max_max,wind_max_min,gust_max_mean,gust_max_max,gust_max_min,wind_dir_mean,wind_dir_max,wind_dir_min,radiation_mean,radiation_max,radiation_min,sunshine_mean,sunshine_max,sunshine_min,et0_mean,et0_max,et0_min,dry_day_sum,high_wind_sum
2022_01_0006195,2022-01-21,2022-01-22,2,40.9794444444444,-8.11666666666667,8.15,8.4,7.9,0.29999999999999993,1.9,-1.3,80.5,84,77,54.0,55,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,17.3,15.1,54.55,54.7,54.4,103.5,105,102,10.655000000000001,10.83,10.48,31197.980000000003,31263.72,31132.24,1.375,1.38,1.37,2,0
2022_01_0008319,2022-01-28,2022-01-29,2,40.8145780001746,-8.27305800014072,13.6,14.5,12.7,5.05,5.6,4.5,55.0,57,53,35.5,37,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,20.7,17.3,54.9,60.5,49.3,90.5,91,90,11.885,11.95,11.82,32280.355,32372.44,32188.27,2.49,2.63,2.35,2,0
2022_01_0011155,2022-02-06,2022-02-06,1,40.9883333333333,-8.10777777777778,11.1,11.1,11.1,0.2,0.2,0.2,83.0,83,83,46.0,46,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,11.6,11.6,38.2,38.2,38.2,104.0,104,104,12.83,12.83,12.83,33625.16,33625.16,33625.16,1.72,1.72,1.72,1,0
2022_01_0011659,2022-02-08,2022-02-08,1,41.0141666666667,-8.00722222222222,12.8,12.8,12.8,0.6,0.6,0.6,92.0,92,92,47.0,47,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,13.4,13.4,53.3,53.3,53.3,96.0,96,96,13.06,13.06,13.06,33932.05,33932.05,33932.05,1.85,1.85,1.85,1,0
2022_01_0017883,2022-02-28,2022-02-28,1,40.8721240001255,-8.29395499971178,13.7,13.7,13.7,2.3,2.3,2.3,100.0,100,100,57.0,57,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,11.5,11.5,33.5,33.5,33.5,153.0,153,153,15.12,15.12,15.12,34630.68,34630.68,34630.68,2.08,2.08,2.08,1,0
2022_01_0028549,2022-04-04,2022-04-04,1,40.9768050003052,-8.15765000025431,11.9,11.9,11.9,0.1,0.1,0.1,63.0,63,63,31.0,31,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,18.0,46.8,46.8,46.8,83.0,83,83,24.25,24.25,24.25,42125.71,42125.71,42125.71,3.39,3.39,3.39,1,0
2022_01_0060403,2022-07-07,2022-07-09,3,40.6440270000034,-8.33496900002162,34.1,35.1,33.2,21.066666666666666,21.6,20.7,72.33333333333333,75,70,25.0,27,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.8,35.1,21.8,54.23333333333333,63.4,41.0,53.0,63,33,29.96666666666667,30.25,29.74,49574.08666666667,49600.64,49546.7,8.103333333333333,8.51,7.7,3,2
2022_01_0060450,2022-07-07,2022-07-07,1,40.7439329995049,-8.47766400019328,33.3,33.3,33.3,21.8,21.8,21.8,74.0,74,74,28.0,28,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.6,33.6,33.6,60.8,60.8,60.8,67.0,67,67,29.75,29.75,29.75,49616.48,49616.48,49616.48,8.22,8.22,8.22,1,1
2022_01_0061252,2022-07-09,2022-07-09,1,41.0458333333333,-8.45944444444445,35.0,35.0,35.0,21.2,21.2,21.2,71.0,71,71,31.0,31,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,13.9,13.9,30.2,30.2,30.2,11.0,11,11,30.02,30.02,30.02,49625.94,49625.94,49625.94,7.5,7.5,7.5,1,0
2022_01_0062374,2022-07-12,2022-07-12,1,40.7917359998491,-8.45065999997987,39.7,39.7,39.7,27.0,27.0,27.0,53.0,53,53,19.0,19,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,23.6,23.6,45.0,45.0,45.0,83.0,83,83,26.92,26.92,26.92,42891.78,42891.78,42891.78,9.18,9.18,9.18,1,0
2022_01_0062745,2022-07-13,2022-07-15,3,40.7664019997915,-8.50894499990675,34.36666666666667,39.2,28.7,21.433333333333334,23.3,18.6,69.66666666666667,89,52,33.666666666666664,52,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.966666666666665,26.0,15.5,39.73333333333333,46.8,33.5,225.66666666666666,360,18,24.159999999999997,26.77,21.72,42372.829999999994,48976.11,32809.07,6.646666666666667,8.07,5.3,3,0
