incident_id,source_file,date,lat,lon,temp_max,temp_min,rh_max,rh_min,precip_sum,rain_sum,precip_hours,wind_max,gust_max,wind_dir,radiation,sunshine,et0
2022_01_0006195,2022.csv,2022-01-21,40.9794444444444,-8.11666666666667,7.9,1.3,84,55,0.0,0.0,0.0,17.3,54.7,105,10.48,31132.24,1.4
2022_01_0006195,2022.csv,2022-01-22,40.9794444444444,-8.11666666666667,8.4,-1.3,77,53,0.0,0.0,0.0,13.7,54.7,101,10.83,31263.72,1.36
2022_01_0008319,2022.csv,2022-01-28,40.8145780001746,-8.27305800014072,12.7,4.5,57,34,0.0,0.0,0.0,20.7,60.5,91,11.82,32188.27,2.36
2022_01_0008319,2022.csv,2022-01-29,40.8145780001746,-8.27305800014072,14.5,5.6,53,37,0.0,0.0,0.0,17.3,49.3,90,11.95,32372.44,2.62
2022_01_0011155,2022.csv,2022-02-06,40.9883333333333,-8.10777777777778,11.1,0.2,83,46,0.0,0.0,0.0,11.6,38.2,104,12.83,33625.16,1.71
2022_01_0011659,2022.csv,2022-02-08,41.0141666666667,-8.00722222222222,12.8,0.6,92,47,0.0,0.0,0.0,13.4,53.3,97,13.06,33932.05,1.86
2022_01_0017883,2022.csv,2022-02-28,40.8721240001255,-8.29395499971178,13.7,2.3,100,57,0.0,0.0,0.0,11.5,33.5,158,15.12,34630.68,2.08
2022_01_0028549,2022.csv,2022-04-04,40.9768050003052,-8.15765000025431,11.9,0.1,63,31,0.0,0.0,0.0,18.0,46.8,82,24.25,42125.71,3.39
2022_01_0060403,2022.csv,2022-07-07,40.6440270000034,-8.33496900002162,33.2,20.9,75,27,0.0,0.0,0.0,35.1,63.4,63,29.74,49600.64,8.16
2022_01_0060403,2022.csv,2022-07-08,40.6440270000034,-8.33496900002162,34.0,21.6,72,23,0.0,0.0,0.0,32.5,58.3,63,30.25,49574.92,8.43
2022_01_0060403,2022.csv,2022-07-09,40.6440270000034,-8.33496900002162,35.1,20.7,63,25,0.0,0.0,0.0,21.8,41.0,30,29.91,49546.7,7.7
2022_01_0060450,2022.csv,2022-07-07,40.7439329995049,-8.47766400019328,33.3,21.8,74,28,0.0,0.0,0.0,33.6,60.8,67,29.75,49616.48,8.3
2022_01_0061252,2022.csv,2022-07-09,41.0458333333333,-8.45944444444445,35.0,21.2,71,31,0.0,0.0,0.0,13.9,30.2,353,30.02,49625.94,7.45
2022_01_0062374,2022.csv,2022-07-12,40.7917359998491,-8.45065999997987,39.7,27.0,49,19,0.0,0.0,0.0,23.6,45.0,81,26.92,42891.78,9.29
2022_01_0062745,2022.csv,2022-07-13,40.7664019997915,-8.50894499990675,39.2,23.3,52,24,0.0,0.0,0.0,26.0,46.8,20,23.99,45333.31,8.06
2022_01_0062745,2022.csv,2022-07-14,40.7664019997915,-8.50894499990675,35.2,22.1,68,27,0.0,0.0,0.0,17.4,38.9,351,21.72,32809.07,6.32
2022_01_0062745,2022.csv,2022-07-15,40.7664019997915,-8.50894499990675,28.7,17.8,90,52,0.0,0.0,0.0,15.5,33.5,299,26.77,48976.11,5.3
2022_01_0067400,2022.csv,2022-07-25,40.8617929999034,-8.42658699989319,29.0,13.8,96,40,0.0,0.0,0.0,16.8,43.9,358,28.22,48004.96,5.72
2022_01_0078608,2022.csv,2022-08-28,40.5770030000475,-8.57600900014242,26.5,14.8,100,49,0.0,0.0,0.0,15.2,34.9,295,22.2,43601.3,4.35
2022_02_0016962,2022.csv,2022-07-07,38.0152777777778,-7.54444444444444,38.3,19.6,85,15,0.0,0.0,0.0,13.6,24.8,299,29.69,47927.54,6.98
2022_02_0017430,2022.csv,2022-07-12,37.9897222222222,-7.34111111111111,40.3,23.6,35,8,0.0,0.0,0.0,19.0,40.7,142,21.61,38512.35,7.92
2022_02_0017430,2022.csv,2022-07-13,37.9897222222222,-7.34111111111111,42.6,23.6,44,8,0.0,0.0,0.0,16.8,40.0,161,28.35,47386.34,8.88
2022_02_0019270,2022.csv,2022-07-31,37.9927777777778,-7.53638888888889,40.4,23.3,56,16,0.0,0.0,0.0,14.9,27.7,259,27.67,46800.0,6.98
2022_02_0019270,2022.csv,2022-08-01,37.9927777777778,-7.53638888888889,40.2,23.8,51,16,0.0,0.0,0.0,19.9,41.0,276,27.71,46784.84,7.74
2022_03_0005006,2022.csv,2022-01-18,41.6676980000072,-8.23325700018141,13.0,3.2,85,58,0.0,0.0,0.0,9.1,22.7,89,9.66,30804.78,1.34
2022_03_0005006,2022.csv,2022-01-19,41.6676980000072,-8.23325700018141,14.0,3.4,84,49,0.0,0.0,0.0,8.3,17.6,80,10.05,30843.52,1.36
2022_03_0005285,2022.csv,2022-01-19,41.4655555555556,-8.07611111111111,11.2,-1.7,78,41,0.0,0.0,0.0,8.6,20.5,87,10.34,30959.82,1.37
2022_03_0005488,2022.csv,2022-01-20,41.5491666666667,-8.12611111111111,10.1,2.2,69,49,0.0,0.0,0.0,15.1,37.1,65,10.22,30939.17,1.63
2022_03_0006060,2022.csv,2022-01-22,41.4994830004374,-8.51146700011359,11.7,3.5,67,48,0.0,0.0,0.0,21.6,41.0,95,10.29,31000.15,2.04
2022_03_0006242,2022.csv,2022-01-22,41.5074770000246,-8.13585999992159,7.7,-0.8,75,50,0.0,0.0,0.0,22.8,54.0,67,10.58,31106.78,1.57
2022_03_0006312,2022.csv,2022-01-22,41.6462909995185,-8.14633399963379,9.9,2.0,63,47,0.0,0.0,0.0,22.7,53.3,88,10.46,31044.55,1.93
2022_03_0006312,2022.csv,2022-01-23,41.6462909995185,-8.14633399963379,11.6,2.6,80,47,0.0,0.0,0.0,12.0,31.3,94,10.62,31103.0,1.66
2022_03_0006366,2022.csv,2022-01-23,41.5802530002594,-8.01563300026788,8.2,-2.4,78,48,0.0,0.0,0.0,12.4,32.0,47,10.84,31209.33,1.32
2022_03_0006479,2022.csv,2022-01-23,41.5803249994914,-8.01470499992371,8.3,-2.4,78,48,0.0,0.0,0.0,12.4,32.0,47,10.84,31209.33,1.32
2022_03_0007219,2022.csv,2022-01-25,41.6734619998932,-8.09320199966431,9.0,1.1,81,54,0.0,0.0,0.0,12.3,33.8,77,10.8,31351.62,1.37
2022_03_0007548,2022.csv,2022-01-26,41.5813888888889,-8.07,11.0,5.3,74,50,0.0,0.0,0.0,19.1,44.3,83,10.9,31479.31,1.78
