incident_id,start_date,end_date,n_days,lat_first,lon_first,mean_temp_max,temp_max_max,temp_max_min,mean_temp_min,temp_min_max,temp_min_min,rh_max_mean,rh_max_max,rh_max_min,rh_min_mean,rh_min_max,rh_min_min,precip_sum_mean,precip_sum_max,precip_sum_min,rain_sum_mean,rain_sum_max,rain_sum_min,precip_hours_mean,precip_hours_max,precip_hours_min,wind_max_mean,wind_max_max,wind_max_min,gust_max_mean,gust_max_max,gust_max_min,wind_dir_mean,wind_dir_max,wind_dir_min,radiation_mean,radiation_max,radiation_min,sunshine_mean,sunshine_max,sunshine_min,et0_mean,et0_max,et0_min,dry_day_sum,high_wind_sum
20250008102,2025-01-02,2025-01-02,1,41.9783333333333,-8.55333333333333,8.6,8.6,8.6,4.7,4.7,4.7,75.0,75,75,60.0,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,15.8,15.8,42.8,42.8,42.8,172.0,172,172,4.57,4.57,4.57,12350.66,12350.66,12350.66,1.18,1.18,1.18,1,0
20250008536,2025-01-02,2025-01-02,1,41.9706149999301,-8.59657700008816,11.9,11.9,11.9,4.5,4.5,4.5,83.0,83,83,60.0,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,13.9,13.9,34.6,34.6,34.6,179.0,179,179,4.87,4.87,4.87,14844.98,14844.98,14844.98,1.07,1.07,1.07,1,0
20250075365,2025-01-17,2025-01-17,1,41.2428600003984,-6.68071999973721,8.9,8.9,8.9,-1.3,-1.3,-1.3,92.0,92,92,48.0,48,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,17.6,17.6,41.0,41.0,41.0,65.0,65,65,10.18,10.18,10.18,30893.22,30893.22,30893.22,1.21,1.21,1.21,1,0
20250168127,2025-02-06,2025-02-06,1,41.6869444444444,-8.30777777777778,10.9,10.9,10.9,3.1,3.1,3.1,69.0,69,69,43.0,43,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,11.7,11.7,28.8,28.8,28.8,111.0,111,111,9.57,9.57,9.57,27454.62,27454.62,27454.62,1.63,1.63,1.63,1,0
20250271295,2025-03-01,2025-03-01,1,41.3617190000746,-6.52337200005849,9.4,9.4,9.4,3.2,3.2,3.2,81.0,81,81,46.0,46,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9,27.9,27.9,54.4,54.4,54.4,63.0,63,63,9.23,9.23,9.23,21739.94,21739.94,21739.94,1.95,1.95,1.95,1,0
20250274364,2025-03-02,2025-03-02,1,41.4761900001102,-7.76521299997965,2.9,2.9,2.9,-0.2,-0.2,-0.2,96.0,96,96,55.0,55,55,1.9,1.9,1.9,0.2,0.2,0.2,6.0,6.0,6.0,22.9,22.9,22.9,52.2,52.2,52.2,83.0,83,83,6.31,6.31,6.31,12069.66,12069.66,12069.66,1.09,1.09,1.09,0,0
20250280648,2025-03-03,2025-03-03,1,41.9145530001322,-7.07227799998389,10.2,10.2,10.2,3.2,3.2,3.2,90.0,90,90,58.0,58,58,1.1,1.1,1.1,1.1,1.1,1.1,6.0,6.0,6.0,23.9,23.9,23.9,52.6,52.6,52.6,83.0,83,83,7.87,7.87,7.87,9585.2,9585.2,9585.2,1.48,1.48,1.48,0,0
20250284402,2025-03-04,2025-03-04,1,41.7577777777778,-8.29611111111111,15.5,15.5,15.5,4.8,4.8,4.8,95.0,95,95,44.0,44,44,0.2,0.2,0.2,0.2,0.2,0.2,1.0,1.0,1.0,11.3,11.3,11.3,36.7,36.7,36.7,60.0,60,60,14.36,14.36,14.36,37589.62,37589.62,37589.62,2.22,2.22,2.22,1,0
20250335408,2025-03-15,2025-03-15,1,41.6165670002831,-8.06864999996291,9.8,9.8,9.8,-1.9,-1.9,-1.9,88.0,88,88,43.0,43,43,0.2,0.2,0.2,0.2,0.2,0.2,2.0,2.0,2.0,10.2,10.2,10.2,26.6,26.6,26.6,307.0,307,307,17.04,17.04,17.04,39093.67,39093.67,39093.67,2.21,2.21,2.21,1,0
20250338035,2025-03-16,2025-03-16,1,41.6816666666667,-7.90888888888889,10.0,10.0,10.0,-0.2,-0.2,-0.2,89.0,89,89,34.0,34,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,9.4,9.4,23.4,23.4,23.4,79.0,79,79,19.39,19.39,19.39,39191.79,39191.79,39191.79,2.48,2.48,2.48,1,0
